t,n5 outlin,n6 outrot,n4 inlin,n1 inrot
36600,0,0,0,0
36750,0,0,0,0
36900,0,0,0,0
37050,0,0,0,0
37200,0,0,0,0
37350,0,0,0,4432
37500,0,0,0,14748
37650,0,0,0,25071
37800,0,0,0,35312
37950,0,0,0,45566
38100,0,0,0,55803
38250,0,0,0,66049
38400,0,0,0,76278
38550,0,0,0,86520
38700,0,0,0,96777
38850,0,0,0,107003
39000,0,0,0,117236
39150,0,0,0,127473
39300,0,0,0,137736
39450,0,0,0,147969
39600,0,0,0,158218
39750,0,0,0,168464
39900,0,0,0,178687
40050,0,0,0,188939
40200,0,0,0,199190
40350,0,0,0,209413
40500,0,0,0,219666
40650,0,0,0,229891
40800,0,0,0,240127
40950,0,0,0,250389
41100,0,0,0,260623
41250,0,0,0,270860
41400,0,0,0,281091
41550,0,0,0,291322
41700,0,0,0,301558
41850,0,0,0,311805
42000,0,0,0,322037
42150,0,0,0,332260
42300,0,0,0,342503
42450,0,0,0,352755
42600,0,0,0,362993
42750,0,0,0,373275
42900,0,0,0,383488
43050,0,0,0,393781
43200,0,0,0,403972
43350,0,0,0,414214
43500,0,0,0,424458
43650,0,0,0,434686
43800,0,0,0,444924
43950,0,0,0,455175
44100,0,0,0,465407
44250,0,0,0,475649
44400,0,0,0,485892
44550,0,0,0,496137
44700,0,0,0,506368
44850,0,0,0,516609
45000,0,0,0,526850
45150,0,0,0,537094
45300,0,0,0,547336
45450,0,0,0,557572
45600,0,0,0,567809
45750,0,0,0,578063
45900,0,0,0,588299
46050,0,0,0,598526
46200,0,0,0,608763
46350,0,0,0,619003
46500,0,0,0,629257
46650,0,0,0,639489
46800,0,0,0,648998
46950,0,0,0,650043
47100,0,0,0,650042
47250,0,0,0,650037
47400,0,0,0,648487
47550,0,0,0,638480
47700,0,0,0,628168
47850,0,0,0,617922
48000,0,0,0,607671
48150,0,0,0,597422
48300,0,0,0,587170
48450,0,0,0,576952
48600,0,0,0,566709
48750,0,0,0,556469
48900,0,0,0,546214
49050,0,0,0,535965
49200,0,0,0,525733
49350,0,0,0,515504
49500,0,0,0,505256
49650,0,0,0,495019
49800,0,0,0,484773
49950,0,0,0,474550
50100,0,0,0,464290
50250,0,0,0,454045
50400,0,0,0,443831
50550,0,0,0,433568
50700,0,0,0,423349
50850,0,0,0,413101
51000,0,0,0,402865
51150,0,0,0,392609
51300,0,0,0,382367
51450,0,0,0,372121
51600,0,0,0,361862
51750,0,0,0,351621
51900,0,0,0,341396
52050,0,0,0,331141
52200,0,0,0,320913
52350,0,0,0,310676
52500,0,0,0,300449
52650,0,0,0,290202
52800,0,0,0,279976
52950,0,0,0,269749
53100,0,0,0,259523
53250,0,0,0,249271
53400,0,0,0,239022
53550,0,0,0,228775
53700,0,0,0,218511
53850,0,0,0,208289
54000,0,0,0,198062
54150,0,0,0,187824
54300,0,0,0,177571
54450,0,0,0,167326
54600,0,0,0,157092
54750,0,0,0,146860
54900,0,0,0,136615
55050,0,0,0,126373
55200,0,0,0,116138
55350,0,0,0,105886
55500,0,0,0,95661
55650,0,0,0,85420
55800,0,0,0,75181
55950,0,0,0,64943
56100,0,0,0,54715
56250,0,0,0,44462
56400,0,0,0,34217
56550,0,0,0,23965
