0.100000	0.000036	-0.000312	-0.000759	-0.000378	0.000018	-0.000147	-0.000278	-0.002213	-0.000000	0.000001	-0.000001	0.000017	0.000009	-0.000166	0.000678	0.000017	0.000000	0.000004	-0.000008	0.000464	-0.004057	-0.007930	-0.002558	0.000232	-0.001958	-0.003198	-0.021694	-0.000000	0.000000	-0.000004	0.000173	0.000090	-0.001662	0.006786	0.000168	0.000003	0.000052	-0.000116
0.200000	0.000062	-0.000600	-0.000802	-0.000619	0.000047	-0.000427	-0.000503	-0.004380	-0.000000	0.000001	-0.000001	0.000032	0.000018	-0.000332	0.001356	0.000033	0.000001	0.000019	-0.000032	0.000248	-0.002838	-0.000444	-0.002407	0.000291	-0.002800	-0.002106	-0.021672	0.000000	-0.000000	-0.000003	0.000144	0.000090	-0.001662	0.006786	0.000167	0.000003	0.000165	-0.000252
0.300000	0.000074	-0.000826	-0.000856	-0.000860	0.000059	-0.000594	-0.000391	-0.006541	-0.000000	0.000001	-0.000001	0.000053	0.000027	-0.000500	0.002040	0.000052	0.000001	0.000046	-0.000075	0.000132	-0.002303	-0.000531	-0.002408	0.000142	-0.001864	0.000743	-0.021614	0.000000	-0.000000	-0.000004	0.000202	0.000090	-0.001672	0.006825	0.000184	0.000003	0.000262	-0.000406
0.400000	0.000073	-0.000967	-0.000873	-0.001100	0.000053	-0.000606	-0.000107	-0.008698	-0.000000	0.000001	-0.000002	0.000075	0.000036	-0.000673	0.002748	0.000076	0.000001	0.000076	-0.000140	0.000041	-0.001822	-0.000441	-0.002406	-0.000033	-0.000475	0.003023	-0.021568	0.000000	-0.000000	-0.000005	0.000256	0.000092	-0.001699	0.006936	0.000215	0.000004	0.000307	-0.000558
0.500000	0.000055	-0.000987	-0.000807	-0.001338	0.000038	-0.000510	0.000126	-0.010856	-0.000000	0.000001	-0.000002	0.000088	0.000046	-0.000857	0.003498	0.000108	0.000002	0.000104	-0.000235	-0.000035	-0.001263	-0.000065	-0.002398	-0.000071	0.000018	0.002783	-0.021572	0.000000	-0.000000	-0.000004	0.000210	0.000094	-0.001748	0.007133	0.000249	0.000004	0.000296	-0.000692
0.600000	0.000036	-0.001006	-0.000742	-0.001576	0.000024	-0.000414	0.000358	-0.013014	-0.000000	0.000001	-0.000002	0.000100	0.000056	-0.001041	0.004249	0.000139	0.000002	0.000131	-0.000329	-0.000111	-0.000704	0.000311	-0.002390	-0.000108	0.000512	0.002544	-0.021577	0.000000	-0.000000	-0.000003	0.000165	0.000097	-0.001796	0.007329	0.000283	0.000005	0.000286	-0.000825
0.700000	0.000018	-0.001019	-0.000677	-0.001813	0.000012	-0.000328	0.000573	-0.015173	-0.000000	0.000001	-0.000004	0.000178	0.000066	-0.001213	0.004953	0.000152	0.000003	0.000159	-0.000427	-0.000182	-0.000175	0.000653	-0.002379	-0.000138	0.000929	0.002271	-0.021584	0.000000	-0.000000	-0.000007	0.000325	0.000097	-0.001804	0.007363	0.000257	0.000005	0.000278	-0.000956
0.800000	-0.000006	-0.000961	-0.000610	-0.002038	0.000013	-0.000341	0.000611	-0.017342	-0.000000	-0.000000	-0.000019	0.000903	0.000069	-0.001272	0.005193	-0.000021	-0.000000	0.000192	-0.000555	-0.000201	0.000065	0.000658	-0.002337	-0.000089	0.000591	0.001669	-0.021616	0.000000	-0.000003	-0.000053	0.002528	0.000076	-0.001416	0.005783	-0.000374	-0.000006	0.000291	-0.001060
0.900000	-0.000030	-0.000903	-0.000543	-0.002263	0.000014	-0.000355	0.000649	-0.019510	0.000000	-0.000001	-0.000034	0.001628	0.000072	-0.001330	0.005432	-0.000194	-0.000003	0.000224	-0.000684	-0.000219	0.000305	0.000662	-0.002295	-0.000041	0.000252	0.001066	-0.021648	0.000001	-0.000006	-0.000099	0.004732	0.000055	-0.001027	0.004203	-0.001005	-0.000016	0.000305	-0.001163
1.000000	-0.000054	-0.000845	-0.000477	-0.002487	0.000016	-0.000368	0.000686	-0.021679	0.000000	-0.000002	-0.000049	0.002354	0.000075	-0.001388	0.005672	-0.000366	-0.000005	0.000256	-0.000812	-0.000238	0.000544	0.000666	-0.002253	0.000008	-0.000086	0.000464	-0.021680	0.000001	-0.000008	-0.000145	0.006935	0.000034	-0.000639	0.002624	-0.001636	-0.000026	0.000319	-0.001267
